RPM,power
989.2450,0.9286
1121.0326,1.0737
1246.0553,1.2269
1360.9307,1.3593
1800.5204,1.8192
1929.1808,1.9701
2051.7145,2.1460
2484.5649,2.3912
2620.7305,2.4731
2755.8240,2.5399
2871.1588,2.5927
2978.7162,2.6431
3148.3914,2.8190
3254.6511,2.9419
3391.3528,3.0847
3502.5904,3.2051
3619.6357,3.3617
3951.5617,3.7539
4135.7069,4.0007
4231.9639,4.1305
4340.3722,4.2526
4459.5022,4.3792
4589.9496,4.5137
4718.9674,4.6617
4834.7618,4.7750
4950.0200,4.8963
5070.6392,5.0160
5181.8768,5.1402
5292.2210,5.2269
5413.7336,5.3244
5515.5898,5.4011
5651.1427,5.5012
5751.4672,5.5664
5917.6536,5.6945
6068.8295,5.8214
6183.3135,5.9125
6295.5935,5.9948
6421.5735,6.0713
6537.3679,6.1405
6652.0901,6.2030
6771.1010,6.2722
6878.5860,6.3145
7025.2053,6.3683
7139.9275,6.4074
7268.5879,6.4538
7386.5266,6.4798
7504.4653,6.5170
7663.5039,6.5376
7836.8380,6.5603
7957.4572,6.5822
8077.0041,6.6607
8185.2933,6.7318
8302.1598,6.8058
8449.1663,6.9067
8512.3052,6.8993
