area,area_long,code,from_date,to_date
AT,Austria,10YAT-APG------L,,
BE,Belgium,10YBE----------2,,
CH,Switzerland,10YCH-SWISSGRIDZ,,
DK1,Denmark West,10YDK-1--------W,,
DK2,Denmark East,10YDK-2--------M,,
ES,Spain,10YES-REE------0,,
FI,Finland,10YFI-1--------U,,
FR,France,10YFR-RTE------C,,
GR,Greece,10YGR-HTSO-----Y,,
HU,Hungary,10YHU-MAVIR----U,,
IE,Ireland,10Y1001A1001A59C,,
IT_N,Italy North,10Y1001A1001A70O,,
IT_S,Italy South,10Y1001A1001A71M,,
LT,Lithuania,10YLT-1001A0008Q,,
LV,Latvia,10YLV-1001A00074,,
NL,Netherlands,10YNL----------L,,
NO1,Norway 1,10YNO-1--------2,,
NO2,Norway 2,10YNO-2--------T,,
NO3,Norway 3,10YNO-3--------J,,
NO4,Norway 4,10YNO-4--------9,,
NO5,Norway 5,10Y1001A1001A48H,,
PL,Poland,10YPL-AREA-----S,,
PT,Portugal,10YPT-REN------W,,
SE1,Sweden 1,10Y1001A1001A44P,,
SE2,Sweden 2,10Y1001A1001A45N,,
SE3,Sweden 3,10Y1001A1001A46L,,
SE4,Sweden 4,10Y1001A1001A47J,,
DE,Germany,10Y1001A1001A63L,,2018-09-30
DE,Germany,10Y1001A1001A82H,2018-10-01,
